,metascore,name,userscore,name_new
320,85,Call of Duty: Black Ops 4,4.7,callofduty blackops4
321,97,The Legend of Zelda: Breath of the Wild,8.5,thelegendofzelda breathofthewild
322,90,Kentucky Route Zero - Act IV,6.2,kentuckyroutezero activ
323,89,Dark Souls III,8.5,darksoulsiii
324,89,Rez Infinite,7.6,rezinfinite
325,89,Axiom Verge,8.6,axiomverge
326,89,Titanfall 2,8.4,titanfall2
327,89,Dark Souls III,8.9,darksoulsiii
328,89,Stardew Valley,7.7,stardewvalley
329,89,Battlefield 1,8.0,battlefield1
330,89,Stardew Valley,8.6,stardewvalley
331,88,Ori and the Blind Forest: Definitive Edition,8.7,oriandtheblindforest definitiveedition
332,88,Ori and the Blind Forest: Definitive Edition,7.6,oriandtheblindforest definitiveedition
333,88,Dishonored 2,7.2,dishonored2
334,88,Rise of the Tomb Raider: 20 Year Celebration,8.1,riseofthetombraider 20yearcelebration
335,89,L.A. Noire,7.8,l a noire
336,89,FIFA Soccer 12,7.1,fifasoccer12
337,89,Metal Gear Solid HD Collection,8.9,metalgearsolidhdcollection
338,89,Battlefield 3,7.6,battlefield3
339,89,Dead Space 2,8.4,deadspace2
340,89,Deus Ex: Human Revolution,8.3,deusex humanrevolution
341,89,L.A. Noire,7.9,l a noire
342,89,Dark Souls,8.9,darksouls
343,88,Call of Duty: Modern Warfare 3,3.4,callofduty modernwarfare3
344,85,Valkyria Chronicles 4,7.9,valkyriachronicles4
345,85,West of Loathing,7.5,westofloathing
346,85,Darkest Dungeon,8.2,darkestdungeon
347,85,Moss,8.2,moss
348,85,F1 2018,7.9,f12018
349,85,Radiant Historia: Perfect Chronology,8.5,radianthistoria perfectchronology
350,85,Flat Heroes,7.9,flatheroes
351,84,Ni no Kuni II: Revenant Kingdom,7.9,ninokuniii revenantkingdom
352,84,Shantae: Half-Genie Hero - Ultimate Edition,7.8,shantae half geniehero ultimateedition
353,84,The Banner Saga 3,8.0,thebannersaga3
354,84,Two Point Hospital,7.6,twopointhospital
355,84,428: Shibuya Scramble,7.9,428 shibuyascramble
356,97,Super Mario Odyssey,8.9,supermarioodyssey
357,96,The Legend of Zelda: Breath of the Wild,8.2,thelegendofzelda breathofthewild
358,93,Divinity: Original Sin II,8.4,divinity originalsinii
359,93,Persona 5,9.0,persona5
360,92,What Remains of Edith Finch,7.4,whatremainsofedithfinch
361,92,Undertale,6.5,undertale
362,92,Okami HD,7.7,okamihd
363,92,Mario Kart 8 Deluxe,8.6,mariokart8deluxe
364,91,SteamWorld Heist: Ultimate Edition,8.4,steamworldheist ultimateedition
365,91,Shovel Knight: Treasure Trove,8.2,shovelknight treasuretrove
366,90,Bayonetta,8.2,bayonetta
367,88,NBA 2K17,6.3,nba2k17
368,88,XCOM 2,7.2,xcom2
369,88,Dishonored 2,7.9,dishonored2
370,88,Fire Emblem Fates: Special Edition,6.7,fireemblemfates specialedition
371,88,Fire Emblem Fates: Revelation,5.9,fireemblemfates revelation
372,88,Sid Meier's Civilization VI,7.1,sidmeier scivilizationvi
373,88,Battlefield 1,7.1,battlefield1
374,88,World of Warcraft: Legion,7.3,worldofwarcraft legion
375,88,Keep Talking and Nobody Explodes,6.6,keeptalkingandnobodyexplodes
376,88,Owlboy,7.7,owlboy
377,87,XCOM 2,7.3,xcom2
378,87,The Witness,7.1,thewitness
379,88,LIMBO,8.1,limbo
380,88,Assassin's Creed: Brotherhood,8.2,assassin screed brotherhood
381,88,Call of Duty: Modern Warfare 3,3.2,callofduty modernwarfare3
382,88,Joe Danger: Special Edition,7.7,joedanger specialedition
383,88,The Witcher 2: Assassins of Kings,8.5,thewitcher2 assassinsofkings
384,87,Pokemon White Version,7.7,pokemonwhiteversion
385,87,DiRT 3,7.0,dirt3
386,87,Tactics Ogre: Let Us Cling Together,8.8,tacticsogre letusclingtogether
387,87,DiRT 3,7.0,dirt3
388,84,Sprint Vector,7.2,sprintvector
389,84,Toki Tori 2 +,7.6,tokitori2 
390,84,Bayonetta,8.2,bayonetta
391,84,SoulCalibur VI,6.0,soulcaliburvi
392,84,F1 2018,7.5,f12018
393,84,Total War: WARHAMMER II - Rise of the Tomb Kings,7.2,totalwar warhammerii riseofthetombkings
394,84,Valkyria Chronicles 4,7.8,valkyriachronicles4
395,84,Mega Man X Legacy Collection,8.5,megamanxlegacycollection
396,84,Frostpunk,8.5,frostpunk
397,84,SoulCalibur VI,7.4,soulcaliburvi
398,89,F1 2017,7.5,f12017
399,89,Final Fantasy XIV: Stormblood,8.5,finalfantasyxiv stormblood
400,89,Lone Echo,7.6,loneecho
401,89,Rez Infinite,7.2,rezinfinite
402,89,Horizon Zero Dawn,8.3,horizonzerodawn
403,89,Injustice 2,8.2,injustice2
404,89,What Remains of Edith Finch,8.2,whatremainsofedithfinch
405,88,XCOM 2: War of the Chosen,7.7,xcom2 warofthechosen
406,88,N++,5.2,n  
407,88,What Remains of Edith Finch,8.1,whatremainsofedithfinch
408,88,Wolfenstein II: The New Colossus,6.2,wolfensteinii thenewcolossus
409,88,NieR: Automata,8.9,nier automata
410,87,DOOM,8.4,doom
411,87,Battlefield 1,7.7,battlefield1
412,87,Dark Souls III,8.7,darksoulsiii
413,87,Pokemon Sun,8.3,pokemonsun
414,87,Pokemon Moon,8.7,pokemonmoon
415,87,The Witness,6.9,thewitness
416,87,Fire Emblem Fates: Conquest,7.3,fireemblemfates conquest
417,87,Rocket League,8.3,rocketleague
418,87,SteamWorld Heist,7.9,steamworldheist
419,87,Pro Evolution Soccer 2017,6.0,proevolutionsoccer2017
420,87,Titanfall 2,8.3,titanfall2
421,93,Persona 4 Golden,8.9,persona4golden
422,87,Dead Space 2,8.4,deadspace2
423,87,Rayman Origins,8.4,raymanorigins
424,87,Pokemon Black Version,7.6,pokemonblackversion
425,87,Rayman Origins,8.2,raymanorigins
426,86,Bastion,8.5,bastion
427,86,Radiant Silvergun,8.3,radiantsilvergun
428,86,Crysis 2,6.8,crysis2
429,86,Mortal Kombat,8.3,mortalkombat
430,86,NHL 12,7.5,nhl12
431,84,Moonlighter,7.5,moonlighter
432,88,Cuphead,8.3,cuphead
433,88,Okami HD,8.3,okamihd
